timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-04T10:55:39.738,85,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.53,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.772,86,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.805,87,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.838,88,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.872,89,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.905,90,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.72,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.938,91,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.973,92,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.007,93,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.040,94,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.073,95,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.106,96,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.140,97,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.174,98,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.207,99,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.240,100,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.273,101,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.307,102,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.340,103,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.373,104,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.407,105,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.440,106,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.474,107,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.507,108,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.540,109,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.574,110,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.607,111,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.640,112,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.674,113,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.707,114,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.740,115,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.774,116,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.807,117,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.841,118,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.874,119,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.54,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.907,120,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.941,121,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:40.974,122,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.007,123,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.041,124,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.074,125,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.108,126,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.141,127,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.174,128,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.208,129,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.241,130,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.274,131,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.56,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.308,132,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.65,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.341,133,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.73,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.375,134,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.65,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.409,135,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.85,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.442,136,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.80,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.475,137,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.72,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.508,138,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.71,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.541,139,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.575,140,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.72,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.608,141,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.84,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.642,142,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.675,143,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.63,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.708,144,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.59,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.742,145,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.74,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.775,146,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.69,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.808,147,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.77,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.842,148,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.78,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.875,149,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.52,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.909,150,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.75,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.943,151,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:41.975,152,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.68,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.009,153,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.78,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.042,154,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.61,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.075,155,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.71,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.109,156,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.59,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.142,157,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.176,158,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.64,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.209,159,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.242,160,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.276,161,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.309,162,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.65,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.343,163,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.73,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.376,164,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.66,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.410,165,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.62,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.442,166,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.62,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.476,167,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.509,168,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.543,169,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.60,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.576,170,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.76,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.609,171,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.71,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.643,172,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.74,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.676,173,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.74,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.709,174,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.70,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.743,175,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.52,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.776,176,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.810,177,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.843,178,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.876,179,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.88,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.910,180,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.83,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.943,181,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.58,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:42.977,182,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.010,183,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.79,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.043,184,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.71,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.077,185,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.89,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.110,186,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.81,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.143,187,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.81,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.177,188,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.79,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.210,189,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.75,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.243,190,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.80,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.277,191,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.82,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.310,192,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.344,193,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.77,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.377,194,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.80,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.410,195,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.90,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.444,196,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.77,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.477,197,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.56,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.510,198,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.75,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.544,199,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.68,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.577,200,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.81,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.611,201,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.82,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.644,202,fixed_ball,idle,0.000,geom,red ball,,,2,green ball:0.70;red bucket:0.81,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:43.677,203,fixed_ball,idle,0.000,geom,red ball,,,2,green ball:0.74;red bucket:0.68,"-0.30, 0.00, 0, 0, 10"
